"","C001_FD2_ORC","C001_FD3_ORC","C001_L.3_ORC","C001_L.44_ORC","C001_L.92_ORC","C001_R.1_ORC","C001_R.45_ORC","C001_R.82_ORC","C002_FD2_ORC","C002_FD3_ORC","C002_L.3_ORC","C002_L.44_ORC","C002_L.92_ORC","C002_R.1_ORC","C002_R.45_ORC","C002_R.82_ORC","C003_FD2_ORC","C003_FD3_ORC","C003_L.3_ORC","C003_L.44_ORC","C003_L.92_ORC","C003_R.1_ORC","C003_R.45_ORC","C003_R.82_ORC","C004_FD2_ORC","C004_FD3_ORC","C004_L.3_ORC","C004_L.44_ORC","C004_L.92_ORC","C004_R.1_ORC","C004_R.45_ORC","C004_R.82_ORC"
"Qipengyuania citrea",1,0,0,20,1,1,1,1,8,0,0,0,0,1,0,0,0,0,0,0,0,2,16,0,0,0,1,0,1,0,1,1
"Qipengyuania flava",2,21,0,55,0,28,2,0,4,0,3,0,1,4,3,5,3,33,16,54,5,23,2,12,5,27,0,4,5,41,0,67
"Qipengyuania gelatinilytica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qipengyuania psychrotolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Qipengyuania sediminis",0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,7,0,3,0,0,0,0,0,0,164
"Qipengyuania seohaensis",1,37,4,113,1,54,4,29,23,2,0,0,1,4,0,6,22,7,24,43,7,149,25,81,2,13,0,0,0,42,0,38
"Qipengyuania soli",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,18
"Qipengyuania sp. GPGPB31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qipengyuania sp. HL-TH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Qipengyuania sp. SS22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
