"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Aurantibacillus circumpalustris"	"S"	3036359	384	13	132	29	276	6	384	23	142	10	110	16	2	1	4	NA	2	14	25	13	2	3	33	7	18	144	56	2	NA	1	NA	NA	9	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Aurantibacillaceae>Aurantibacillus"
"Hymenobacter sp. DG01"	"S"	2584940	338	71	338	NA	NA	NA	NA	3	NA	NA	NA	3	3	NA	NA	NA	2	2	2	17	7	10	NA	NA	NA	48	15	NA	4	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. BRD128"	"S"	2675878	239	28	239	NA	11	3	20	NA	NA	NA	1	3	NA	7	NA	NA	NA	1	NA	NA	1	12	NA	NA	NA	15	90	NA	NA	NA	5	NA	12	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. YIM 151500-1"	"S"	2987689	41	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	2	3	4	NA	NA	NA	19	41	NA	NA	NA	NA	1	25	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. APR13"	"S"	1356852	12	12	NA	NA	NA	3	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. BRD67"	"S"	2675877	33	10	NA	NA	NA	9	23	NA	33	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	4	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. 5317J-9"	"S"	2932250	256	9	256	3	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	22	NA	NA	3	NA	NA	NA	1	NA	6	19	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. 5516J-16"	"S"	2932253	9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. GOD-10R"	"S"	3093922	47	8	NA	2	NA	10	NA	NA	13	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	NA	NA	18	NA	8	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. NBH84"	"S"	2596915	28	5	NA	NA	NA	28	NA	1	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
