"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Streptococcus sp. Marseille-Q6470"	"S"	2972784	32016	815	243	32016	4599	14735	3416	2718	9363	3243	3605	918	2907	4366	354	591	3177	1842	2569	1295	1619	1245	5368	1532	20246	7284	4412	4905	1378	3501	12591	6175	427	1066	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_522"	"S"	2420310	3687	752	NA	1348	1113	2128	224	2112	727	876	346	1295	883	2034	1526	2181	1073	224	559	1252	1329	2379	943	1644	578	466	483	1609	2346	3687	934	946	631	990	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL W8-0197"	"S"	2975349	3674	667	NA	1389	1468	148	96	1130	371	897	117	447	660	223	222	331	2905	681	487	289	300	203	74	300	396	841	249	2120	1315	3629	1854	1292	794	3674	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. D7B5"	"S"	3038077	2636	434	NA	981	1619	403	195	1285	494	1411	161	321	491	294	183	376	1181	342	2636	717	561	697	298	567	772	902	533	1753	1181	2562	1009	965	475	1971	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 064"	"S"	712624	3601	418	166	559	930	210	185	1935	133	372	206	421	609	346	196	383	2222	978	617	261	343	136	85	402	187	3601	344	1019	692	1541	612	1120	307	2575	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 1643"	"S"	2576376	1783	323	NA	536	367	107	69	744	172	570	68	127	310	117	64	188	463	361	333	641	589	630	161	1783	169	447	296	1210	671	1744	1102	444	310	1216	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A"	"S"	3077723	1245	157	NA	122	95	254	180	468	1245	49	519	105	45	8	11	71	207	485	140	37	52	43	86	35	213	771	369	633	152	820	404	208	142	676	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. S5"	"S"	3098076	2104	136	225	1345	68	2104	293	820	1320	205	693	67	68	373	85	35	149	161	463	84	151	46	343	43	705	603	513	228	85	562	1489	86	84	60	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. LPB0220"	"S"	2610896	2543	119	NA	1811	326	2543	280	894	1406	535	1067	77	228	294	51	56	162	141	397	135	127	175	473	183	578	1302	318	193	174	338	512	85	63	143	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. S1"	"S"	3098075	17837	119	NA	2250	650	4309	1289	1989	2762	4945	1118	882	874	17837	738	158	1073	2280	806	144	97	123	275	372	610	506	3066	169	187	357	464	101	47	180	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. KS 6"	"S"	2598457	125	75	NA	35	35	50	23	108	79	42	56	4	8	24	11	47	32	15	81	28	15	5	9	18	35	61	34	81	18	125	25	29	4	31	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_521"	"S"	2420309	124	41	NA	60	24	56	15	62	78	69	13	36	33	66	30	80	41	14	20	49	54	75	9	58	74	32	77	39	87	124	39	51	8	85	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29896"	"S"	3028082	1133	39	NA	431	505	206	139	663	187	190	56	92	259	1133	166	11	170	12	90	17	12	24	32	320	99	150	1026	343	98	92	145	27	22	315	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 'group B'"	"S"	1319	52	38	NA	14	52	11	4	22	12	46	5	7	4	27	10	39	6	5	17	17	8	5	12	23	5	13	17	14	26	37	5	22	4	42	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. zg-86"	"S"	2664091	757	34	NA	167	757	37	9	40	117	218	7	8	10	19	8	32	23	3	22	74	24	12	45	19	21	18	22	52	31	57	65	29	3	36	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL K6-1323"	"S"	2954513	705	14	NA	705	49	393	98	78	415	177	318	7	11	86	9	1	238	117	380	9	19	16	64	8	NA	15	124	20	10	25	8	3	NA	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_192"	"S"	1839799	971	13	NA	135	14	971	42	97	32	59	119	14	2	147	14	8	44	37	22	17	15	21	101	13	18	19	37	55	45	79	98	19	24	31	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL W7-1342"	"S"	2954545	568	11	NA	71	54	526	62	75	568	71	180	16	2	27	3	1	46	13	37	12	3	NA	68	1	75	10	23	22	19	15	13	5	1	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NSJ-72"	"S"	2763068	80	7	NA	4	NA	NA	NA	17	34	4	NA	17	80	8	5	1	32	26	15	9	1	NA	NA	1	NA	44	10	6	1	19	2	4	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29887"	"S"	3028084	249	2	NA	32	74	7	NA	12	249	19	17	12	6	11	8	29	19	18	6	8	NA	NA	NA	10	1	30	1	12	3	20	5	16	4	53	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29892"	"S"	3028083	54	2	NA	5	NA	NA	NA	5	NA	10	3	9	3	6	NA	5	1	20	3	3	2	NA	35	2	NA	4	NA	23	2	12	54	26	12	30	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus mitis"	"S"	28037	579780	178040	5538	256279	489589	102343	29442	541048	69244	255137	31075	154092	180714	99059	244953	579776	98455	77500	103856	234916	217636	168060	134488	234702	53367	108081	81355	355892	310207	378977	238004	144472	81154	384760	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pneumoniae"	"S"	1313	408370	114345	1380	83347	198565	45841	10841	127008	33908	240373	24259	68504	34476	47881	161317	328311	28465	26150	55014	66287	61144	41229	27368	58382	15602	39073	25087	169050	124428	408369	106862	76102	22922	126445	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus cristatus"	"S"	45634	122120	44633	246	6968	18421	9497	8528	54330	15606	6091	3485	2162	2412	2703	898	979	5037	1905	3258	5831	1689	9012	4636	3867	20957	28698	34802	122124	79753	35976	53883	4580	33473	79306	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oralis"	"S"	1303	341200	33091	2060	24216	42755	12228	7646	56079	15005	56598	7869	113312	193126	341202	27908	22657	189860	62721	52058	39409	31086	30782	10723	26975	14003	31555	21968	69717	53572	100366	47009	33615	21724	78743	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sanguinis"	"S"	1305	195570	18810	2715	13444	27614	26171	36574	42424	195573	8102	56752	9363	3555	1884	2979	7949	21195	46574	10102	9293	1835	5197	11575	2406	22499	56224	51489	24400	10687	13202	7597	18979	9579	89533	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus anginosus"	"S"	1328	71766	8620	441	6129	7676	3808	753	4498	2448	12827	1336	1731	1127	3502	3177	5281	2539	1531	5758	48652	58206	71766	2884	30503	8452	34005	16571	8682	6705	24496	5584	3267	1514	5406	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus intermedius"	"S"	1338	31431	3058	NA	463	1459	604	1579	2448	3735	1487	3181	163	122	284	200	447	202	189	377	2877	954	10831	8331	13232	6185	31431	11189	3726	830	1675	2231	769	1811	1599	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus constellatus"	"S"	76860	3057	1096	1	906	1565	1403	203	1991	530	2859	373	850	589	1708	969	2410	796	470	640	978	1229	1321	806	1397	891	1219	898	1305	1797	2445	870	827	430	3057	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus gwangjuense"	"S"	1433513	50935	11542	345	10495	18702	2616	1225	39727	3469	16402	3170	9374	17217	7401	2572	29951	10197	3865	8119	10570	11519	4134	3574	8731	1761	5495	3454	50935	28272	20529	27681	11164	9238	11614	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pseudopneumoniae"	"S"	257758	130210	11278	319	26285	43063	4533	1433	22957	5792	130207	3838	3091	5068	2666	2694	5374	3187	1351	9692	10154	10676	6270	1711	9668	1344	9262	3985	14825	6945	21189	9318	6726	1879	5733	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus toyakuensis"	"S"	2819619	25042	10336	556	10072	16862	2328	786	25042	3064	19688	2264	5377	10234	4504	2779	8126	5568	2795	9467	9157	11036	5311	4466	10907	1019	5125	3500	21850	13671	20267	13901	8757	4494	12313	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus thermophilus"	"S"	1308	537670	9779	1682	12705	35214	69902	12864	35935	31199	537667	75690	10145	3641	11103	6756	13094	5496	3039	6245	11547	16138	12577	23398	10669	23786	8281	67496	9345	15014	18663	7041	5803	4327	17207	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus gordonii"	"S"	1302	329340	9711	883	55889	37683	14719	34242	183609	191781	43884	107371	2727	4606	2336	1876	8680	28078	8663	8394	2405	2338	2264	1640	2393	3502	2703	3549	13147	17068	10700	5637	1829	329340	294600	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pyogenes"	"S"	1314	20019	8096	668	5562	13301	8185	2101	9903	4936	20019	2151	3585	3023	8964	4543	11742	3864	2277	3785	9075	7462	9048	6448	9188	6033	8233	6145	6718	10836	13445	5760	4620	3076	14435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus agalactiae"	"S"	1311	28534	7974	489	7511	15598	12483	2095	15669	5035	28534	2747	5525	4752	12803	7459	18712	6235	3468	4764	10894	10180	11175	6239	12256	5821	8065	5400	8606	17334	19303	6919	6480	3979	25102	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus infantis"	"S"	68892	33458	5097	888	16764	14530	16428	3071	13591	10606	19242	2505	4734	4397	10719	5334	11826	5544	3733	5331	9663	9214	10404	20391	9890	20154	17866	33458	8456	13372	16736	9046	6096	3069	14682	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus vestibularis"	"S"	1343	7613	4116	372	624	1310	866	2368	6333	989	7601	2554	1013	1166	1040	266	1574	831	2553	290	784	1196	574	7613	3200	87	713	245	7395	3175	1802	5212	1523	1986	2485	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus suis"	"S"	1307	11815	3950	161	5314	11219	11815	1330	5940	3779	8936	1512	2651	2388	6612	2809	7506	3711	2398	4499	3404	2714	3618	5622	4354	4128	5033	4585	3682	7745	6239	2991	2802	1689	7713	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus australis"	"S"	113107	45602	3364	941	5687	4011	4105	11849	19059	10632	11935	6630	1415	2496	2238	1132	1361	2471	2255	4584	11336	6336	8762	7558	1958	44401	31612	45602	6565	3472	17847	10156	2819	1372	2995	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ratti"	"S"	1341	11403	3082	13	2084	5062	3796	1596	4846	1370	11403	910	1147	1076	3355	2646	4667	539	467	1049	4510	2157	5887	2652	868	1768	2341	1277	4232	939	5786	2290	2488	1176	6024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus salivarius"	"S"	1304	20079	2829	158	13071	2651	20079	2480	5650	8847	5076	4855	1625	808	5174	1597	1978	2959	3104	3236	2690	2807	3279	13231	16954	3166	8691	10449	4451	4176	7017	4314	1230	1392	2693	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus dysgalactiae"	"S"	1334	2839	813	7	1001	1406	1252	307	1210	630	1186	270	552	399	975	600	1198	587	241	626	966	965	1501	856	1063	568	440	635	1308	1808	2839	713	785	435	1301	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group"
"Streptococcus equi"	"S"	1336	2858	562	1	718	1114	1148	258	1849	465	2723	341	613	454	1512	810	2219	672	296	815	1357	1288	1383	643	1349	872	880	567	1029	1781	2858	743	693	432	1917	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group"
"Streptococcus rubneri"	"S"	1234680	345850	1260	261	1176	669	496	410	1318	1408	662	695	73277	3489	21495	197672	345854	7313	8589	1349	657	614	1546	1848	2052	6775	16905	15081	5113	5132	8575	5029	361	4396	18551	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sobrinus"	"S"	1310	1122	931	5	269	395	391	75	507	359	1122	121	149	161	428	218	532	172	159	154	366	302	429	356	362	560	884	407	267	448	487	344	233	223	871	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus iniae"	"S"	1346	3112	892	11	899	1382	1466	356	1494	758	3112	333	490	437	1484	702	1710	590	466	446	1216	992	1143	711	1243	888	1195	748	855	1792	1875	825	670	689	2002	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ilei"	"S"	1156431	8619	888	1	5336	632	1184	605	2605	4466	575	2586	197	380	244	118	1035	330	215	662	853	2344	550	5795	824	7585	8619	5459	1136	1103	3112	2686	1251	253	496	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parasanguinis"	"S"	1318	79565	534	482	27784	4041	79565	20471	15365	44984	19001	15504	556	473	3478	604	511	1487	1899	2717	663	674	1392	9932	618	3806	5528	45085	688	478	1824	3638	558	197	385	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oriscaviae"	"S"	2781599	2764	497	NA	63	19	75	22	363	83	109	28	97	28	96	98	116	113	78	41	52	39	37	11	12	63	164	70	1765	515	2764	1923	528	231	371	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parasuis"	"S"	1501662	658	464	67	215	229	372	70	488	163	582	123	205	172	420	204	658	188	105	150	327	312	280	189	400	156	314	356	251	326	363	187	168	139	620	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus chenjunshii"	"S"	2173853	2665	422	2	673	1203	852	209	978	534	2665	179	397	290	1000	562	1174	454	257	399	774	671	1033	658	877	468	705	366	916	1173	1489	616	529	284	1435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pseudoporcinus"	"S"	361101	1196	412	NA	353	651	462	65	596	350	1196	179	242	184	481	303	686	244	117	273	416	521	497	362	561	360	344	376	499	588	1000	287	269	198	843	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus mutans"	"S"	1309	2048	378	186	638	963	770	164	933	518	1350	178	465	600	856	420	1121	420	1889	2048	693	624	1075	710	716	779	324	342	717	1071	1497	466	359	296	817	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus didelphis"	"S"	102886	2113	363	NA	736	1645	519	93	1063	465	1691	81	315	266	578	381	862	341	171	206	815	613	826	286	2113	244	422	275	1177	1060	1366	664	512	390	1376	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus canis"	"S"	1329	4722	348	2	95	144	74	5	92	33	154	27	59	55	90	47	79	33	20	436	134	163	432	224	443	4722	1469	247	481	379	1440	2714	141	380	573	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus merionis"	"S"	400065	326	326	1	173	234	123	37	164	79	127	29	107	59	124	113	148	107	24	94	142	134	178	56	128	72	83	40	155	178	251	90	109	49	86	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pluranimalium"	"S"	82348	875	299	1	347	621	309	141	467	370	875	132	202	121	282	228	358	179	54	317	511	248	501	154	346	221	138	246	419	514	734	265	152	157	364	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus troglodytae"	"S"	1111760	965	251	4	240	344	250	50	390	171	965	110	186	115	404	195	503	156	87	138	378	359	391	137	380	163	209	166	267	477	620	162	180	94	548	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pasteurianus"	"S"	197614	732	232	NA	349	517	491	231	404	287	452	86	163	113	207	202	395	153	28	166	347	323	732	414	391	241	64	317	293	609	708	198	141	143	284	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus himalayensis"	"S"	1888195	767	227	NA	152	380	300	34	428	89	528	71	63	24	104	226	632	83	55	145	59	32	41	162	157	139	150	48	440	653	767	338	220	180	709	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus koreensis"	"S"	2382163	11042	220	17	11042	1677	1663	1582	2781	7295	547	3623	76	82	273	54	41	129	89	363	249	169	540	5765	305	8316	6327	5036	553	208	2141	3610	340	143	226	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus uberis"	"S"	1349	353	202	NA	144	103	157	45	222	136	242	88	74	137	180	108	234	121	46	146	197	211	148	23	167	200	179	139	180	274	353	135	115	71	282	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ruminicola"	"S"	2686210	693	188	NA	323	405	390	68	243	178	613	48	253	97	246	299	316	127	16	59	466	228	474	126	346	160	159	178	287	358	693	114	92	134	222	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus halichoeri"	"S"	254785	300	171	NA	23	50	60	7	54	21	300	33	6	5	8	3	71	13	7	125	100	63	24	4	56	23	66	42	18	20	23	8	11	3	33	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus urinalis"	"S"	149016	336	140	NA	118	154	109	27	153	81	218	67	47	59	103	59	136	59	26	96	96	87	71	73	114	52	336	137	156	116	203	109	91	42	268	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ferus"	"S"	1345	1338	130	1	233	320	249	82	415	198	393	63	170	165	563	171	357	262	106	247	155	107	107	253	251	71	133	74	487	759	1338	327	274	136	974	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus marmotae"	"S"	1825069	541	103	NA	539	390	66	28	220	94	208	52	42	30	73	31	65	37	24	34	173	96	65	47	91	2	33	79	362	137	541	234	132	67	106	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus lactarius"	"S"	684066	12595	87	NA	745	769	667	258	787	883	739	604	711	407	315	261	848	3866	12595	2183	145	93	93	465	97	917	748	4540	233	175	351	679	123	69	96	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus acidominimus"	"S"	1326	144	53	NA	78	82	88	31	127	83	100	41	29	46	25	5	28	28	35	17	58	59	40	12	38	30	66	29	49	21	144	75	106	81	110	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pantholopis"	"S"	1811193	433	52	1	113	234	113	65	146	178	433	52	44	33	76	54	114	58	28	63	108	84	154	90	122	72	67	70	112	137	180	59	52	55	157	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parauberis"	"S"	1348	241	41	2	74	20	73	30	98	50	77	19	22	24	32	15	23	65	53	73	41	71	23	107	35	136	144	40	94	75	160	71	55	29	241	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus periodonticum"	"S"	2490633	132	41	132	16	49	16	3	40	8	61	9	6	4	16	10	28	12	9	122	109	76	58	6	43	39	28	70	10	28	28	11	17	4	27	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
