"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ERR589505","ERR589506","ERR589509","ERR589529","ERR589538","ERR589555","ERR589571","ERR589575","ERR589579","ERR589593","ERR589736","ERR589737","ERR589766","ERR589767","ERR589788","ERR589789","ERR589813","ERR589837","ERR589839","ERR589849","ERR589851","ERR589852","ERR589853","ERR589856","ERR589857","ERR589859","ERR589868","ERR589442","ERR589443","ERR589485","ERR589501","ERR589511","ERR589530","ERR589532","ERR589537","ERR589544","ERR589561","ERR589563","ERR589565","ERR589572","ERR589576","ERR589581","ERR589747","ERR589748","ERR589764","ERR589769","ERR589771","ERR589772","ERR589775","ERR589833","ERR589858","logFC"
"14469","Stellaceae><wbr>Stella><wbr>Stella humosa",2.85879451551759,0.663757292612516,0.648343913234032,1.02377346199118,0.305942287806234,0.581809292886719,8,0,0,0,1,0,5,3,1,0,9,2,4,0,0,0,6,0,6,0,35,15,12,0,0,39,0,0,5,0,3,0,1,1,1,2,0,0,1,2,2,2,1,6,7,19,5,2,0,0,4,0.199810854917082
"14470","Stenosarchaea group",19.2171569626287,-0.181870240237093,0.417627311376364,-0.435484546347574,0.663210753719896,0.838057059703655,33,0,5,5,12,12,15,32,45,5,86,63,10,2,26,18,24,8,104,15,2,123,12,0,3,89,1,1,51,2,30,50,1,9,3,6,3,2,1,19,113,21,16,23,21,95,6,17,35,2,27,-0.0547483976299793
"14471","Stenotrophomonas",19.1992261602141,-0.223770759017601,0.277103343753203,-0.807535398118105,0.419358088995839,0.671452373241064,69,2,10,14,19,26,14,30,12,11,47,19,22,19,16,7,34,18,52,10,39,61,78,13,3,35,1,5,39,19,36,77,1,7,32,7,6,2,4,19,15,66,10,70,71,63,44,7,28,0,9,-0.0673617106167942
"14475","Stenotrophomonas indicatrix",4.34873947682127,-0.521471910061246,0.625483510550412,-0.833710083903511,0.404444374354929,0.662611789668836,11,0,0,0,1,12,0,1,4,0,3,2,9,0,2,2,0,3,51,0,29,19,7,0,0,6,0,0,0,9,16,2,0,1,19,1,3,0,0,1,4,66,1,3,16,15,8,2,7,0,4,-0.156978686824625
"14486","Stenotrophomonas sp. 24(2023)",2.71843315065316,-1.26508390157683,0.786118283332796,-1.60927932653269,0.107555277478843,0.336523621650376,1,0,1,0,1,0,1,12,3,0,1,0,5,0,2,0,8,0,20,0,2,1,0,0,1,2,1,0,13,0,2,2,0,0,1,0,12,1,1,0,1,2,0,0,8,0,0,7,1,0,0,-0.380828201406247
"14490","Stenotrophomonas sp. 610A2",2.71663832890805,0.595994623605207,0.617826484002524,0.964663443600085,0.334713410976594,0.605701121183983,3,0,0,0,2,1,1,17,1,0,1,0,18,0,0,5,5,9,36,0,2,6,11,0,0,3,4,0,3,2,3,5,0,0,3,1,0,0,1,1,3,6,0,5,5,0,1,4,0,0,15,0.179412258959632
"14497","Stenotrophomonas sp. ESTM1D_MKCIP4_1",6.5973416652996,0.707618166316356,0.579797018753556,1.22045844222792,0.222291134317431,0.4953539691768,24,0,4,1,3,40,13,7,29,0,25,40,4,0,12,16,2,0,52,9,3,11,1,0,0,5,1,0,0,4,11,29,0,2,0,9,2,0,1,9,0,5,2,24,17,4,0,5,8,0,9,0.213014293537967
"14518","Steroidobacterales><wbr>...><wbr>Steroidobacter denitrificans",4.91280786235774,0.00707279415079043,0.400927053913038,0.0176410997505909,0.985925168911485,0.994570992683026,16,2,0,4,27,13,0,8,3,5,9,8,3,0,2,1,3,4,23,8,5,17,15,3,0,9,2,0,1,7,6,4,0,0,17,4,0,2,0,10,2,10,5,10,36,3,4,5,13,0,9,0.00212912319254468
"14520","Sterolibacterium><wbr>Sterolibacterium denitrificans",2.89047357462062,-0.406350186435112,0.399443975485439,-1.01728956092348,0.309015701151855,0.58457523159235,7,1,0,0,2,0,2,0,9,0,16,2,4,2,11,4,11,2,10,0,2,4,8,1,1,8,0,0,6,3,6,11,0,2,1,0,0,1,0,7,7,9,4,6,12,7,5,5,3,0,6,-0.12232359486062
"14522","Stieleria maiorica",2.31677940539779,-0.660118902736135,0.459285970456823,-1.43727208144319,0.150640698482919,0.403949243268868,5,0,0,0,4,0,2,4,2,0,12,5,0,1,40,1,2,4,5,1,1,8,11,0,0,2,0,0,5,2,4,3,2,0,2,1,0,2,0,1,0,2,2,7,8,7,15,1,6,0,4,-0.198715590428371
